8;990;597;99;85;90;95;80
9;500;95;85;70;80;99;60
10;450;2931;90;60;85;100;75
11;800;22;95;70;70;85;90
12;550;19;88;95;75;70;80
13;600;21;92;75;60;80;65
14;1000;900;80;99;100;100;95
15;700;32;75;80;90;85;95
16;400;21;70;50;80;90;85
17;350;17;75;65;75;85;80
18;400;117;80;85;75;90;85
19;900;7000;70;90;100;100;100
20;150;28;95;80;5;15;50
21;450;35;75;90;80;95;60
22;480;23;85;65;75;80;90
23;420;139;80;90;65;70;75
24;300;14;99;20;70;60;85
25;750;38;85;100;90;95;90
26;990;10000;99;95;100;90;40
27;300;2700;40;60;95;90;100
28;500;36;80;85;80;95;65
29;250;15;75;60;70;99;85
30;950;35;95;90;85;80;30
31;200;24;65;50;85;90;80
32;400;32;70;55;85;90;95
33;500;19;90;70;80;95;60
34;100;30;30;20;70;85;90
35;550;200;85;75;65;80;85
36;450;19;80;60;90;95;75
37;990;1000;100;95;80;85;40
38;950;500;99;80;85;90;70
39;980;82;95;70;100;95;90
40;50;50;10;20;75;85;100
41;300;14;80;70;60;75;95
42;200;33;20;50;95;90;85
43;900;30;98;85;90;85;75
44;350;24;75;70;75;80;90
45;550;45;85;65;90;99;55
46;700;19;95;80;50;70;100
47;600;150;90;80;85;95;75
48;850;35;95;60;100;90;85
49;900;40;95;85;95;95;90
50;10;2000;50;30;20;20;100
52;150;27;20;30;90;85;100
53;850;24;99;85;70;85;60
54;750;94;90;70;99;90;95
55;650;30;85;70;75;80;70
56;1000;25;100;100;60;70;50
57;200;1;75;70;40;60;10
58;500;20;80;70;75;90;85
59;450;30;85;65;80;95;60
60;990;40;100;95;70;90;95
61;950;45;98;95;90;90;70
62;120;40;40;60;80;85;75
63;150;239;75;50;85;90;95
64;50;50;10;10;60;95;100
65;350;600;80;65;80;95;85
66;400;36;75;75;85;85;90
67;300;16;70;65;70;75;95
